Name,縮寫,全名,備註,page,Reference
化學氣相沉積,CVD,,,,
物理氣相沉積,PVD,,,,
電晶體製造後端製程,BEoL,,,,
電晶體製造前端製程,FEoL,,,,
電子設計自動化,EDA,,,,
光學鄰近修正,OPC,,,,
互補金屬氧化物半導體反相器電路,CMOS,Complementary Metal-Oxide-Semiconductor,,86,https://tinyurl.com/ttsy223
金屬氧化物半導體反相器電路,MOS,Metal-Oxide-Semiconductor,,72,
電子級矽材料,EGS,,或稱高純度多晶矽,,
液態三氯矽烷,TCS,SiHCl3,,,
冶金級矽,MGS,,,,
最小關鍵尺寸,CD,Critical Dimension,,,
快速加熱工具,RTP,,,,
化學機械研磨,CMP,,,,
整合元件製造商,IDM,,,,
標準機械式介面箱,SMIF,,200mm晶圓,,
前開口式通用容器,FOUP,Front opening unified pod,300mm晶圓,,
快速熱退火,RTA,,,,
金屬氧化物半導體場校電晶體,MOSFET,,,72,
電化學電鍍法,ECP,,,79,
動態隨機存取晶片,DRAM,,,75,
靜態隨機存取晶片,SRAM,,,76,
可抹除程式唯讀記憶體,EPROM,Erasable Programmable Read-only Memory,,76,
可電抹除程式唯讀記憶體,EEPROM,Electric-Erasable Programmable Read-only Memory,,76,
,NAND,,,77,
算術邏輯單元,ALU,,,78,
完全指令集計算器,CISC,,,79,
精簡指令集計算器,RISC,,,79,
特殊應用積體電路,ASIC,,,79,
數位訊號處理晶片,DSP,,,79,
可程式閘陣列,FPGA,,,79,
深紫外光,EUV,,,80,
奈米壓印微影,NIL,,,80,
電子束直寫,EBDW,,,80,
雙載子互補金屬氧化物半導體反相器電路,BiCMOS,,,81,
摻磷矽玻璃,PSG,,,84,
介電質層,PMD,,,84,
未參雜矽玻璃,USG,,,84,
退火,,Passivation,一種改變材料微結構且進而改變如硬度和強度等機械性質的熱處理,,
鈍化,,,在半導體器件表面覆蓋保護介質膜，以防止表面污染的工藝。,,
金屬-絕緣層-半導體電晶體,MIS,,,97,
米勒指數,,,,98,
蕭特基缺陷,,,,99,
間隙缺陷,,,,100,
弗倫克爾缺陷,,,,100,
差排,,,,,
懸浮矽鍵,,,,,
查克洛斯基法,CZ,,,103,
懸浮區溶法,FZ,,,103,
自動化直徑控制,ADC,,,104,
磊晶,EPI,Epitaxy,,109,
崩潰電壓,,,,,
分子束磊晶製成,MBE,,,110,
絕緣體上矽,SOI,,,117,
絕緣體上應變矽,SSOI,,,117,
混合晶向技術,HOT,,,117,
佈植氧隔離,SIMOX,,,117,
矽局部氧化,LOCOS,,,134,
擴散爐,DF,,,126,
淺溝槽絕緣,STI,Shallow Trench Isolation,,132,
未參雜矽玻璃,USG,Undoped Silicate Glass,,133,
,,,,,
